"","tractfips","cnt"
"1276","26061000300",1
"1277","26061000800",2
"1278","26065004100",1
"1279","26065005800",1
"1280","26065006301",1
"1281","26069000300",1
"1282","26073940400",1
"1283","26073940500",1
"1284","26075000600",1
"1285","26077000201",5
"1286","26077000202",1
"1287","26077001601",1
"1288","26077001905",1
"1289","26077003500",1
"1290","26077006702",1
"1291","26081000800",1
"1292","26081001101",1
"1293","26081002000",3
"1294","26081002400",1
"1295","26081002500",1
"1296","26081002600",1
"1297","26081010402",1
"1298","26081010700",1
"1299","26081011401",1
"1300","26081011801",1
"1301","26081011902",1
"1302","26081012203",1
"1303","26081012604",1
"1304","26081013000",1
"1305","26083000100",1
"1306","26089970100",1
"1307","26089970300",2
"1308","26091061302",1
"1309","26095980000",1
"1310","26099227300",1
"1311","26099241500",1
"1312","26099260700",1
"1313","26099262400",1
"1314","26099262800",1
"1315","26103000100",2
"1316","26103000300",1
"1317","26103001800",1
"1318","26105950500",1
"1319","26107960500",1
"1320","26107960600",1
"1321","26111291200",1
"1322","26117971200",1
"1323","26121004200",1
"1324","26125124500",1
"1325","26125129000",1
"1326","26125134400",1
"1327","26125139200",1
"1328","26125140302",1
"1329","26125152900",2
"1330","26125160800",1
"1331","26125173400",1
"1332","26125180100",1
"1333","26125183000",1
"1334","26125184400",2
"1335","26125184500",1
"1336","26125191200",1
"1337","26125197000",1
"1338","26137950300",1
"1339","26139020501",1
"1340","26139020900",1
"1341","26139021100",1
"1342","26139021801",2
"1343","26139022203",1
"1344","26139023100",1
"1345","26139024900",2
"1346","26145011300",2
"1347","26147623000",1
"1348","26147625000",1
"1349","26147642000",1
"1350","26159011600",1
"1351","26159011800",1
"1352","26161400100",4
"1353","26161404100",1
"1354","26161410800",1
